乌头,栀子,1,1,1,1,1
麦门冬,山茱萸,3,3,3,3,2
人参,鹿茸,4,4,4,4,3
当归,官桂,3,3,3,3,4
枳壳,细辛,2,2,2,2,3
防风,莪术,2,2,2,2,1
巴戟天,蒲黄,1,1,1,1,2
草乌,秦艽,4,4,4,4,5
桑白皮,朱砂,1,1,1,1,2
干姜,蔓荆子,1,1,1,1,4
蝉蜕,黄芩,3,3,3,3,3
赤芍,藿香,2,2,1,1.666666667,3
干地黄,巴戟天,5,4,5,4.666666667,5
全蝎,猪苓,2,2,1,1.666666667,2
萆薢,赤小豆,5,4,5,4.666666667,4
青皮,连翘,2,3,2,2.333333333,3
橘红,防己,2,3,2,2.333333333,2
藁本,肉豆蔻,1,1,2,1.333333333,2
神曲,巴豆,1,1,2,1.333333333,2
川椒,胡黄连,2,1,2,1.666666667,2
高良姜,五倍子,1,1,2,1.333333333,4
麦芽,白僵蚕,1,2,2,1.666666667,3
黄连,威灵仙,1,2,2,1.666666667,4
乌药,贝母,2,3,2,2.333333333,2
苍术,乌梅肉,2,1,1,1.333333333,3
生地,苍术,2,2,3,2.333333333,3
生甘草,麝香,3,2,2,2.333333333,3
肉桂,枳壳,2,1,1,1.333333333,4
鳖甲,香附子,2,1,2,1.666666667,4
蜀椒,川芎,1,1,2,1.333333333,3
黄芪,葱白,1,1,2,1.333333333,4
牛黄,苦参,2,1,1,1.333333333,4
熟地黄,生地,4,5,5,4.666666667,5
丁香,栀子,3,2,2,2.333333333,4
神曲,白芍,3,2,2,2.333333333,3
丁香,补骨脂,4,3,4,3.666666667,2
车前子,没药,2,3,2,2.333333333,2
丁香,牡蛎,1,2,2,1.666666667,2
巴豆,陈皮,1,1,2,1.333333333,3
枳壳,柏子仁,2,3,2,2.333333333,4
款冬花,五倍子,1,2,1,1.333333333,4
沉香,天麻,3,3,4,3.333333333,4
牡丹皮,白芍,3,3,4,3.333333333,4
炙甘草,羌活,3,3,2,2.666666667,4
没药,五灵脂,3,4,4,3.666666667,5
山药,破故纸,3,4,4,3.666666667,3
诃子,天麻,2,1,1,1.333333333,1
羚羊角,杏仁,2,1,2,1.666666667,1
款冬花,山茱萸,2,1,2,1.666666667,2
茯神,蜈蚣,2,1,2,1.666666667,1
桔梗,白芷,1,2,2,1.666666667,3
车前子,大枣,2,1,2,1.666666667,2
延胡索,紫苏,2,2,3,2.333333333,3
独活,枳实,1,2,1,1.333333333,3
地龙,黄柏,2,1,1,1.333333333,3
桔梗,干葛,2,3,3,2.666666667,3
射干,丹皮,2,1,2,1.666666667,2
龙骨,天花粉,3,2,2,2.333333333,3
羚羊角,神曲,2,3,2,2.333333333,2
茯神,熟干地黄,4,4,3,3.666666667,5
生地,羌活,1,1,2,1.333333333,2
槟榔,雄黄,1,1,2,1.333333333,1
熟地,高良姜,2,2,1,1.666666667,4
人参,桑白皮,3,2,2,2.333333333,2
熟干地黄,茯苓,5,4,4,4.333333333,4
萆薢,桑白皮,3,3,2,2.666666667,3
大腹皮,木鳖子,2,1,1,1.333333333,3
酸枣仁,石菖蒲,4,4,5,4.333333333,5
生地,茯神,4,4,3,3.666666667,5
炙甘草,朱砂,3,4,3,3.333333333,4
艾叶,滑石,2,1,1,1.333333333,2
黄柏,鹿茸,2,1,2,1.666666667,3
乌梅,地龙,2,1,2,1.666666667,2
天南星,蒲黄,2,2,1,1.666666667,3
芦荟,厚朴,1,2,1,1.333333333,2
前胡,砂仁,2,1,2,1.666666667,1
红花,天麻,2,3,2,2.333333333,2
生姜,蔓荆子,2,3,3,2.666666667,4
大枣,蔓荆子,2,3,2,2.333333333,4
葱白,细辛,3,3,4,3.333333333,5
